price_amount,makeid,manufacturerprice,km,vehicleyear,etiqueta_type_id,provinceid,horsepower,maxspeed,acceleration,combustible_type_id,body_type_id,transmision_type_id,doors,seatingcapacity,colores_type_id,dimensionsinmillimeterswidth,dimensionsinmillimetersheight,dimensionsinmillimeterslength,weight,tankcapacityinliters,trunkcapacityinliters,consumptionurban,consumptionmixed,consumptionextraurban,co2emissionsgramsperkm,batteryvoltage,batterykwh,chargingtime,chargingtimefast
19790.0,105.0,38012.0,55000.0,2017.0,4.0,47.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,32.2,341.0,2.54,0.9400000000000001,2.98,34.4,323.0,35.8,1020.0,45.0
22890.0,15.0,53950.0,74473.0,2020.0,3.0,28.0,292.0,230.0,5.9,5.0,1.0,1.0,4.0,5.0,4.0,1827.0,1444.0,4709.0,1815.0,40.0,480.0,2.54,2.12,2.98,37.0,3.0,11.5,306.0,30.0
19990.0,105.0,38012.0,42644.0,2017.0,4.0,31.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,38.0,341.0,2.54,1.2600000000000002,2.98,37.0,323.0,35.8,1020.0,45.0
21890.0,105.0,38012.0,54866.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.6,341.0,2.54,0.9400000000000001,2.98,45.6,323.0,35.8,1020.0,45.0
24490.0,10.0,38700.0,87000.0,2017.0,5.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1785.0,1426.0,4311.0,1615.0,40.0,280.0,2.46,1.3199999999999998,2.72,36.0,340.8,8.8,225.0,79.2
24990.0,105.0,40250.0,85000.0,2017.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.46,1.56,2.72,38.0,352.0,8.7,210.0,150.0
19790.0,105.0,38012.0,55000.0,2017.0,4.0,9.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,32.2,341.0,2.54,0.9400000000000001,2.98,34.4,323.0,35.8,1020.0,45.0
19999.0,105.0,40250.0,98000.0,2017.0,4.0,29.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.46,1.3199999999999998,2.72,38.0,352.0,8.7,210.0,150.0
22500.0,15.0,53950.0,140000.0,2020.0,4.0,28.0,292.0,230.0,5.9,5.0,1.0,1.0,4.0,5.0,4.0,1827.0,1444.0,4709.0,1815.0,40.0,480.0,2.4200000000000004,1.8,2.56,37.0,9.4,11.5,351.0,30.0
21990.0,10.0,40434.0,39000.0,2018.0,5.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1785.0,1426.0,4311.0,1630.0,40.0,280.0,3.16,1.2600000000000002,2.98,45.0,272.4,13.0,225.0,41.2
17999.0,105.0,35500.0,30000.0,2014.0,4.0,8.0,115.0,140.0,10.4,3.0,1.0,1.0,5.0,5.0,4.0,1799.0,1450.0,4270.0,1585.0,38.2,341.0,3.16,1.1,2.98,46.8,323.0,24.2,780.0,30.0
